Date,Product_ID,Product_Name,Price,Month,Sales,Stock_Level
2025-01-01,PRD-001,Wireless Headphones,50,1,49,86
2025-01-01,PRD-002,Smart Watch X,120,1,27,215
2025-01-01,PRD-003,Bluetooth Speaker,35,1,17,18
2025-01-02,PRD-001,Wireless Headphones,50,1,57,141
2025-01-02,PRD-002,Smart Watch X,120,1,31,97
2025-01-02,PRD-003,Bluetooth Speaker,35,1,18,183
2025-01-03,PRD-001,Wireless Headphones,50,1,70,253
2025-01-03,PRD-002,Smart Watch X,120,1,54,259
2025-01-03,PRD-003,Bluetooth Speaker,35,1,62,15
2025-01-04,PRD-001,Wireless Headphones,50,1,61,57
2025-01-04,PRD-002,Smart Watch X,120,1,46,156
2025-01-04,PRD-003,Bluetooth Speaker,35,1,52,25
2025-01-05,PRD-001,Wireless Headphones,50,1,19,51
2025-01-05,PRD-002,Smart Watch X,120,1,33,34
2025-01-05,PRD-003,Bluetooth Speaker,35,1,48,135
2025-01-06,PRD-001,Wireless Headphones,50,1,31,248
2025-01-06,PRD-002,Smart Watch X,120,1,23,242
2025-01-06,PRD-003,Bluetooth Speaker,35,1,51,202
2025-01-07,PRD-001,Wireless Headphones,50,1,33,62
2025-01-07,PRD-002,Smart Watch X,120,1,53,150
2025-01-07,PRD-003,Bluetooth Speaker,35,1,21,186
2025-01-08,PRD-001,Wireless Headphones,50,1,40,135
2025-01-08,PRD-002,Smart Watch X,120,1,48,231
2025-01-08,PRD-003,Bluetooth Speaker,35,1,25,28
2025-01-09,PRD-001,Wireless Headphones,50,1,51,194
2025-01-09,PRD-002,Smart Watch X,120,1,39,151
2025-01-09,PRD-003,Bluetooth Speaker,35,1,56,135
2025-01-10,PRD-001,Wireless Headphones,50,1,39,193
2025-01-10,PRD-002,Smart Watch X,120,1,30,43
2025-01-10,PRD-003,Bluetooth Speaker,35,1,64,252
2025-01-11,PRD-001,Wireless Headphones,50,1,67,120
2025-01-11,PRD-002,Smart Watch X,120,1,51,189
2025-01-11,PRD-003,Bluetooth Speaker,35,1,71,116
2025-01-12,PRD-001,Wireless Headphones,50,1,23,257
2025-01-12,PRD-002,Smart Watch X,120,1,41,163
2025-01-12,PRD-003,Bluetooth Speaker,35,1,50,231
2025-01-13,PRD-001,Wireless Headphones,50,1,26,74
2025-01-13,PRD-002,Smart Watch X,120,1,38,196
2025-01-13,PRD-003,Bluetooth Speaker,35,1,36,29
